[2025-10-27 19:27:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:27:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:27:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:27:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:27:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:27:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:27:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:27:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:28:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:28:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:28:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:28:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:28:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:28:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:28:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:28:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:28:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:28:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:29:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:29:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:29:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:29:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:29:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:29:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:29:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:29:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:29:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:29:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:29:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:29:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:29:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:29:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:29:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:29:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:29:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:29:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:29:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:29:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
